fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,60603000000,20477000000,3886000000,3886000000,6988000000,7755000000,40142000000,20442000000,37613000000,11086000000,2442000000,8644000000,8454000000,4382000000,None,1848000000,1363000000,39885000000,11331000000,7216000000,2000000000,724000000,362000000,28025000000,1284000000,15060000000,362000000,13875000000,15422000000,5046000000,6555000000,20718000000,3871000000,23180000000,8000000,709300000
2022-09-30,USD,59557000000,19777000000,2216000000,2374000000,7571000000,8530000000,39799000000,20032000000,36899000000,11007000000,2483000000,8524000000,8869000000,4517000000,158000000,1460000000,1358000000,41440000000,12315000000,7607000000,2042000000,549000000,185000000,28613000000,694000000,13285000000,254000000,11622000000,13470000000,5902000000,6555000000,18117000000,3773000000,23068000000,8000000,714300000
2022-06-30,USD,62143000000,21769000000,2367000000,2548000000,8225000000,9717000000,40399000000,20160000000,37020000000,11221000000,2616000000,8605000000,9012000000,4644000000,181000000,1460000000,1422000000,43170000000,13309000000,8517000000,2077000000,656000000,295000000,29327000000,719000000,13426000000,254000000,12726000000,13721000000,6208000000,6646000000,18973000000,3001000000,22827000000,8000000,725700000
2022-03-31,USD,63335000000,22165000000,3143000000,3401000000,7760000000,9959000000,41194000000,20347000000,37360000000,11477000000,2761000000,8716000000,9265000000,4888000000,258000000,1303000000,1505000000,44455000000,13054000000,8541000000,2103000000,447000000,92000000,30856000000,752000000,14463000000,245000000,15320000000,14555000000,6005000000,6767000000,18880000000,2221000000,21672000000,8000000,734600000
2021-12-31,USD,62990000000,20848000000,2988000000,2988000000,7372000000,9554000000,42168000000,20555000000,37049000000,11645000000,2881000000,8764000000,9490000000,5238000000,265000000,934000000,1456000000,44825000000,13226000000,8416000000,2134000000,392000000,161000000,31025000000,763000000,14511000000,125000000,17125000000,14672000000,6320000000,6602000000,18165000000,1625000000,20623000000,8000000,738200000
2021-09-30,USD,61749000000,20393000000,2911000000,3077000000,7111000000,9409000000,41395000000,19648000000,36874000000,11763000000,2962000000,8801000000,9054000000,4963000000,166000000,962000000,1426000000,45310000000,12793000000,7497000000,2117000000,561000000,270000000,31928000000,474000000,14318000000,223000000,16970000000,14588000000,6597000000,6424000000,16439000000,1225000000,19357000000,8000000,744500000
2021-06-30,USD,61768000000,20352000000,3491000000,3596000000,6952000000,9106000000,41444000000,19864000000,36700000000,11926000000,3093000000,8833000000,7882000000,4518000000,105000000,803000000,1354000000,46195000000,12308000000,7302000000,2181000000,648000000,203000000,33307000000,486000000,15538000000,378000000,18682000000,15741000000,6132000000,6428000000,15573000000,825000000,18200000000,8000000,747000000
2021-03-31,USD,60437000000,19163000000,4133000000,4205000000,6157000000,8265000000,41307000000,19897000000,36112000000,12018000000,3199000000,8819000000,7689000000,4056000000,72000000,608000000,1266000000,46434000000,11354000000,6569000000,2258000000,644000000,152000000,34520000000,490000000,16692000000,428000000,19319000000,16844000000,5800000000,6331000000,14003000000,625000000,16829000000,8000000,744800000
2020-12-31,USD,61470000000,19084000000,5104000000,5104000000,5701000000,7390000000,42397000000,20239000000,36086000000,12260000000,3352000000,8908000000,8217000000,4102000000,45000000,889000000,1249000000,49035000000,11108000000,5889000000,2264000000,616000000,156000000,37357000000,464000000,16951000000,406000000,20604000000,17107000000,5916000000,6279000000,12435000000,625000000,16361000000,8000000,742000000
2020-09-30,USD,59945000000,17789000000,4549000000,4579000000,5609000000,7072000000,39926000000,20413000000,35719000000,12296000000,3442000000,8854000000,6944000000,3464000000,30000000,559000000,1162000000,47591000000,10207000000,5364000000,2314000000,676000000,329000000,36806000000,447000000,17045000000,298000000,19641000000,17374000000,5372000000,7497000000,12354000000,625000000,15472000000,8000000,740500000
2020-06-30,USD,59276000000,16997000000,3724000000,3726000000,5784000000,6881000000,40176000000,20618000000,34841000000,12333000000,3532000000,8801000000,7197000000,3482000000,2000000,606000000,1137000000,46739000000,9786000000,5032000000,2280000000,1304000000,853000000,36393000000,365000000,16739000000,401000000,19117000000,17592000000,4467000000,7404000000,12537000000,625000000,16017000000,8000000,739300000
2020-03-31,USD,60686000000,18138000000,3633000000,3634000000,6324000000,7611000000,40317000000,20806000000,34136000000,12416000000,3636000000,8780000000,6933000000,3371000000,1000000,569000000,1068000000,47780000000,11121000000,5584000000,1798000000,1874000000,1490000000,36104000000,369000000,16697000000,335000000,17639000000,18187000000,4626000000,6937000000,12906000000,625000000,16763000000,8000000,740200000
2019-12-31,USD,60524000000,16815000000,2367000000,2388000000,6214000000,7555000000,41500000000,20996000000,33914000000,12555000000,3759000000,8796000000,6212000000,3992000000,21000000,679000000,818000000,46983000000,10679000000,5953000000,1800000000,1021000000,586000000,35751000000,363000000,16410000000,403000000,18661000000,16996000000,4826000000,6547000000,13541000000,500000000,17045000000,8000000,740100000
