fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,744970000,1351321000,796368000,561385000,267174000,204422000,215712000,477796000,None,14306000,14306000,None,1351321000,3861000,30738000,-3611000,329876000,36604000,None,293272000,385578000,267174000,326266000,293272000
2022-09-30,USD,670499000,1110571000,659481000,469935000,239373000,189546000,208692000,431126000,None,10472000,10472000,10472000,1110571000,285000,29019000,39498000,220267000,9419000,None,210848000,74621000,239373000,270237000,210848000
2022-06-30,USD,728826000,1218394000,703218000,512007000,292740000,191211000,201518000,436086000,None,8495000,8495000,8495000,1218394000,170000,30002000,41644000,278966000,21093000,None,257873000,176350000,292740000,329105000,257873000
2022-03-31,USD,662479000,1170285000,700967000,510183000,228556000,190784000,209006000,433923000,None,7553000,7553000,7553000,1170285000,3261000,28984000,41212000,235864000,24272000,None,211592000,104668000,228556000,284629000,211592000
2021-12-31,USD,772105000,1391589000,619484000,619484000,315120000,174090000,221771000,456985000,None,7005000,7005000,7005000,None,-6282000,None,41061000,293304000,7168000,None,-7168000,249215000,315120000,356904000,286136000
2021-09-30,USD,695947000,1176959000,658541000,496026000,282670000,177647000,198925000,413277000,None,6897000,6897000,6897000,1176959000,833000,26496000,39078000,275386000,16347000,None,259039000,247168000,282670000,321361000,259039000
2021-06-30,USD,780851000,1319579000,711813000,546054000,371172000,180717000,186023000,409679000,None,7018000,7018000,7018000,1319579000,1195000,24788000,37789000,372059000,55062000,None,316997000,343372000,371172000,416866000,316997000
2021-03-31,USD,641556000,1063913000,588393000,430771000,249659000,171987000,188849000,391897000,None,7652000,7652000,7652000,-8414000,1484000,23988000,36890000,250514000,30485000,None,220029000,176854000,249659000,295056000,220029000
2020-12-31,USD,790983000,1351405000,754128000,560421000,371267000,212253000,146329000,419717000,None,6744000,6744000,6744000,1351405000,828000,20980000,36605000,391465000,57918000,None,790983000,397997000,371267000,434815000,333547000
2020-09-30,USD,667983000,1119307000,583345000,441211000,317101000,142134000,174882000,350882000,None,7777000,7777000,7777000,1119307000,1726000,20111000,32578000,336717000,23300000,None,313417000,342666000,317101000,377072000,313417000
2020-06-30,USD,515430000,865374000,486453000,354437000,188389000,132016000,165740000,327041000,None,10455000,10455000,10455000,865374000,3241000,18832000,29328000,198488000,14308000,None,184180000,242102000,188389000,237375000,184180000
2020-03-31,USD,506940000,842531000,486354000,349168000,177482000,137186000,165392000,329458000,None,12026000,12026000,12026000,842531000,3550000,18198000,28204000,177635000,16455000,None,161180000,137113000,177482000,217865000,161180000
2019-12-31,USD,639456000,1102233000,627281000,462777000,276523000,138279000,162005000,362932000,None,13069000,13069000,13069000,1102233000,2051000,19418000,28560000,287413000,-73379000,None,639456000,396075000,276523000,329041000,360792000
2019-09-30,USD,567458000,918381000,491694000,366925000,261460000,124769000,148561000,305998000,None,12309000,12309000,12309000,918087000,294000,17977000,26881000,257767000,29901000,None,227866000,213775000,261460000,296957000,227866000
2019-06-30,USD,575365000,960662000,508213000,379475000,256221000,128738000,148883000,319144000,None,13735000,13735000,13735000,958253000,2409000,17694000,26723000,275778000,52122000,None,223656000,239999000,256221000,316236000,223656000
2019-03-31,USD,451698000,767001000,441133000,314352000,151383000,126781000,145919000,300315000,13704000,13704000,13704000,13704000,766137000,864000,16832000,24011000,166265000,26092000,None,140173000,150081000,151383000,203980000,140173000
2018-12-31,USD,549166000,932108000,530681000,382942000,222673000,125943000,145156000,326493000,14837000,None,None,14837000,932108000,-1427000,16896000,24718000,231872000,41722000,None,549166000,193956000,222673000,271427000,190150000
2018-09-30,USD,480747000,803143000,443933000,329264000,195959000,114669000,138979000,284788000,11089000,None,None,11089000,803143000,1147000,16102000,23256000,201327000,17113000,None,184214000,179106000,195959000,235672000,184214000
2018-06-30,USD,523270000,897099000,491682000,371182000,217508000,120500000,141713000,305762000,10995000,None,None,10995000,897099000,4918000,15786000,25074000,236068000,45726000,None,190342000,135632000,217508000,272137000,190342000
2018-03-31,USD,426535000,711703000,401402000,284337000,142202000,117065000,141957000,284333000,10227000,None,None,10227000,831000,735000,16014000,23146000,153980000,24606000,None,129374000,137840000,142202000,187353000,129374000
