fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,4123000000,11973000000,7850000000,4033000000,1377000000,688000000,None,2562000000,156000000,-460000000,156000000,460000000,12400000000,12000000,None,2456000000,1130000000,287000000,460000000,843000000,1982000000,1377000000,4137000000,843000000
2022-09-30,USD,4645000000,12449000000,7804000000,4459000000,1458000000,482000000,None,2292000000,104000000,-428000000,104000000,428000000,12877000000,-9000000,None,None,1153000000,211000000,428000000,942000000,922000000,1458000000,1582000000,942000000
2022-06-30,USD,3733000000,11714000000,7981000000,4546000000,878000000,487000000,None,2241000000,33000000,-398000000,33000000,398000000,12112000000,-14000000,None,None,459000000,130000000,398000000,329000000,322000000,878000000,857000000,329000000
2022-03-31,USD,1258000000,7166000000,5908000000,2903000000,-1376000000,226000000,None,1669000000,5000000,-400000000,5000000,400000000,7566000000,19000000,None,None,-1752000000,-375000000,400000000,-1377000000,-1372000000,-1376000000,-1352000000,-1377000000
2021-12-31,USD,1919000000,7796000000,5877000000,2706000000,-408000000,398000000,None,1997000000,6000000,-422000000,6000000,422000000,8192000000,88000000,None,2485000000,-845000000,-199000000,422000000,-646000000,-464000000,-408000000,-439000000,-646000000
2021-09-30,USD,3221000000,7319000000,4098000000,2420000000,1037000000,289000000,None,388000000,11000000,-431000000,11000000,431000000,7750000000,20000000,None,None,603000000,130000000,431000000,473000000,463000000,1037000000,1034000000,473000000
2021-06-30,USD,1683000000,5067000000,3384000000,1848000000,-270000000,208000000,None,217000000,12000000,-404000000,12000000,404000000,5471000000,-49000000,None,6200000000,-564000000,-130000000,404000000,-434000000,-422000000,-270000000,-160000000,-434000000
2021-03-31,USD,494000000,2885000000,2391000000,1425000000,-1381000000,119000000,None,-384000000,7000000,-336000000,7000000,336000000,3221000000,-19000000,None,6230000000,-1751000000,-394000000,336000000,-1357000000,-1344000000,-1381000000,-1415000000,-1357000000
2020-12-31,USD,3561000000,3412000000,-149000000,1305000000,-2135000000,192000000,None,-149000000,5000000,-350000000,5000000,350000000,3412000000,-10000000,None,-1716000000,-2373000000,-476000000,350000000,-1682000000,-2027000000,-2135000000,-3739000000,-1897000000
2020-09-30,USD,-766000000,2160000000,2926000000,1058000000,-1615000000,94000000,None,318000000,8000000,-329000000,8000000,329000000,2489000000,-411000000,None,626000000,-2332000000,-491000000,329000000,-1841000000,-1591000000,-1615000000,-1377000000,-1841000000
2020-06-30,USD,-814000000,1296000000,2110000000,716000000,-1637000000,55000000,None,-248000000,11000000,-179000000,11000000,179000000,1475000000,-207000000,None,618000000,-2003000000,-376000000,179000000,-1627000000,-2115000000,-1637000000,-1206000000,-1627000000
2020-03-31,USD,90000000,7132000000,7042000000,2399000000,-972000000,313000000,None,2444000000,26000000,-150000000,26000000,150000000,7979000000,-699000000,None,615000000,-2114000000,-410000000,150000000,-1704000000,-1757000000,-972000000,-1349000000,-1704000000
2019-12-31,USD,10758000000,10888000000,130000000,2966000000,861000000,659000000,None,130000000,30000000,-161000000,30000000,161000000,10888000000,13000000,None,606000000,844000000,203000000,161000000,861000000,427000000,861000000,1611000000,641000000
2019-09-30,USD,4059000000,11197000000,7138000000,3008000000,1473000000,465000000,None,2668000000,36000000,-191000000,36000000,191000000,11380000000,-12000000,None,575000000,1349000000,325000000,191000000,1024000000,1327000000,1540000000,2115000000,1024000000
2019-06-30,USD,3951000000,11220000000,7269000000,3118000000,1472000000,463000000,None,2646000000,38000000,-191000000,38000000,191000000,11402000000,-20000000,None,560000000,1354000000,302000000,191000000,1052000000,1038000000,1545000000,2105000000,1052000000
2019-03-31,USD,2911000000,9401000000,6490000000,2692000000,495000000,3233000000,None,5306000000,29000000,-188000000,29000000,188000000,9589000000,-8000000,None,547000000,367000000,75000000,188000000,292000000,302000000,555000000,1102000000,292000000
2018-12-31,USD,10190000000,10491000000,301000000,3060000000,635000000,3531000000,None,301000000,31000000,-189000000,-16000000,173000000,10491000000,46000000,None,558000000,553000000,92000000,189000000,652000000,748000000,726000000,1284000000,461000000
2018-09-30,USD,3601000000,10816000000,7215000000,3277000000,1187000000,3357000000,None,5405000000,28000000,-187000000,-15000000,172000000,11003000000,-1000000,None,545000000,1058000000,225000000,187000000,836000000,846000000,1230000000,1775000000,833000000
2018-06-30,USD,3708000000,10777000000,7069000000,3112000000,1145000000,3271000000,None,5385000000,25000000,-177000000,-14000000,163000000,10777000000,-164000000,None,538000000,855000000,172000000,177000000,684000000,695000000,1018000000,1556000000,683000000
2018-03-31,USD,2733000000,9032000000,6299000000,2650000000,262000000,3068000000,None,5047000000,17000000,-176000000,-14000000,162000000,9032000000,47000000,None,524000000,182000000,37000000,176000000,147000000,178000000,344000000,868000000,145000000
