fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,897091000,186305000,2708128000,271131000,0.687,0.069,0.201,0.057,0.065
2022-06-30,853240000,186920000,2625229000,271520000,0.688,0.071,0.179,0.199,0.208
2022-03-31,901766000,235335000,2760183000,272431000,0.864,0.085,0.232,0.257,0.265
2021-12-31,773036000,176579000,2740675000,276796000,0.638,0.064,0.024,0.016,0.024
2021-09-30,746699000,176307000,2631262000,273194000,0.645,0.067,0.129,0.091,0.094
2021-06-30,723969000,155900000,2516743000,273565000,0.57,0.062,0.145,0.187,0.187
2021-03-31,731811000,187169000,2542432000,274021000,0.683,0.074,0.193,0.51,0.507
2020-12-31,754659000,173738000,2493018000,278941000,0.623,0.07,0.287,-0.737,-0.736
2020-09-30,661282000,161630000,2395718000,273996000,0.59,0.067,0.149,0.592,0.588
2020-06-30,632504000,131288000,2256631000,273432000,0.48,0.058,0.099,0.224,0.223
2020-03-31,613320000,123988000,2157994000,273476000,0.453,0.057,,,
2019-12-31,586420000,659675000,2102894000,279855000,2.357,0.314,,,
2019-09-30,575363000,101514000,1480262000,273329000,0.371,0.069,,,
2019-06-30,575443000,107235000,1430545000,273159000,0.393,0.075,,,
2021-12-31,2988244000,695955000,2740675000,276796000,2.514,0.254,0.123,0.178,0.187
2020-12-31,2661765000,590644000,2493018000,278941000,2.117,0.237,0.153,-0.403,-0.401
2019-12-31,2308577000,988979000,2102894000,279855000,3.534,0.47,0.093,1.86,1.862
2018-12-31,2112626000,345777000,1288401000,280015000,1.235,0.268,,,
