fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,515126000,696135000,181009000,307101000,192010000,164417000,43435000,224444000,2896000,-12420000,9524000,12420000,708555000,895000,17350000,16592000,183381000,27383000,12420000,155998000,132997000,192010000,212393000,155998000
2022-06-30,USD,524425000,702900000,178475000,307206000,199632000,161877000,44006000,222481000,2526000,-11419000,2526000,11419000,714319000,1535000,19747000,16598000,192274000,27410000,11419000,164864000,141200000,199632000,220291000,164864000
2021-12-31,USD,299812000,825565000,525753000,351004000,262200000,173014000,43331000,223245000,1874000,-10884000,9010000,10884000,836449000,-870000,18800000,1735000,252320000,36081000,10884000,216239000,219988000,262200000,264939000,216239000
2021-09-30,USD,478848000,648152000,169304000,271128000,191815000,152545000,41986000,211636000,2548000,-11081000,8533000,11081000,659233000,-607000,17869000,16759000,182675000,21490000,11081000,161185000,156750000,191815000,195515000,161185000
2021-09-30,USD,222720000,648152000,425432000,271128000,191815000,152545000,41986000,196290000,2548000,-11081000,8533000,11081000,659233000,1941000,None,1759000,182675000,21490000,11081000,161185000,None,193756000,226939000,161185000
2021-06-30,USD,733745000,669620000,-64125000,280254000,196422000,158213000,44949000,238013000,3698000,-12027000,8329000,12027000,681647000,9321000,18548000,31809000,197414000,30122000,12027000,167292000,167319000,196422000,241250000,167292000
2021-03-31,USD,198416000,597599000,399183000,254147000,171270000,143196000,38092000,183128000,4101000,-10946000,4101000,10946000,608545000,13460000,None,1840000,173784000,25657000,10946000,148127000,None,184730000,216086000,148127000
2020-12-31,USD,292260000,775600000,483340000,320569000,263711000,153084000,39662000,202433000,4224000,-11058000,6834000,11058000,786658000,374000,19278000,2687000,257251000,38940000,11058000,218311000,227044000,263711000,270996000,218311000
2020-09-30,USD,432439000,582869000,150430000,262342000,158384000,135430000,34971000,185401000,4007000,-10915000,6908000,10915000,593784000,-1039000,16187000,15000000,150437000,23668000,10915000,126769000,126983000,161352000,192240000,126769000
2020-06-30,USD,375517000,506966000,131449000,213134000,155114000,117449000,31155000,169782000,4003000,-13018000,4003000,13018000,519984000,-736000,17512000,14000000,145363000,22434000,13018000,122929000,134456000,158381000,189396000,122929000
2020-03-31,USD,290125000,450860000,160735000,210644000,68280000,147735000,34989000,199896000,4036000,-14079000,4036000,14079000,464939000,-374000,15708000,13000000,57863000,4301000,14079000,53562000,34616000,71942000,101130000,53562000
2019-12-31,USD,259266000,702071000,442805000,299068000,236417000,141208000,37072000,180809000,4417000,-14223000,4417000,14223000,716294000,-2223000,11671000,2529000,224388000,23719000,14223000,200669000,200779000,236417000,241140000,200669000
2019-09-30,USD,426786000,565822000,139036000,241055000,173235000,126036000,34333000,173369000,3455000,-11456000,3455000,11456000,577278000,2959000,13464000,13000000,164738000,26605000,11456000,138133000,133648000,176194000,202898000,138133000
2019-06-30,USD,441506000,587714000,146208000,249546000,177654000,133208000,36490000,182698000,5871000,-11448000,5871000,11448000,599162000,5529000,16698000,12000000,171735000,27325000,11448000,144410000,137958000,183183000,212034000,144410000
2019-03-31,USD,354960000,502299000,147339000,221031000,121151000,134339000,35060000,184558000,8315000,-11563000,8315000,11563000,513862000,7790000,12006000,13000000,117378000,8392000,11563000,108986000,118313000,128941000,153705000,108986000
2018-12-31,USD,271284000,703343000,432059000,286869000,244532000,142853000,38106000,183618000,10451000,-11676000,None,11676000,715019000,-45501000,13242000,2337000,197806000,12654000,11676000,185152000,192974000,244532000,211819000,185152000
2018-09-30,USD,427589000,566586000,138997000,241139000,171674000,3000,35173000,175094000,9802000,-11435000,None,11435000,578021000,8991000,14125000,12000000,169230000,28216000,11435000,141014000,148122000,180665000,207640000,141014000
2018-06-30,USD,435882000,584527000,148645000,243135000,179193000,136645000,35644000,184289000,8888000,-11692000,None,11692000,596219000,-1828000,14502000,12000000,174561000,18884000,11692000,155677000,111407000,179193000,198253000,155677000
2018-03-31,USD,152004000,516832000,364828000,221421000,144375000,130407000,34480000,175159000,9666000,-13838000,None,13838000,530670000,346000,16083000,13000000,140549000,28598000,13838000,111951000,133387000,144375000,167387000,111951000
2017-12-31,USD,251107000,671994000,420887000,270453000,230574000,148391000,35122000,186652000,10849000,-15281000,None,15281000,687275000,-404000,15996000,1639000,225738000,578910000,15281000,-353172000,-342812000,230574000,242658000,-353172000
