fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-11-27,USD,381600000,1276500000,1006200000,894900000,271800000,109800000,None,111300000,None,None,None,24600000,1276500000,None,49700000,1500000,139900000,36800000,None,103100000,87700000,271800000,273300000,103100000
2022-08-28,USD,273300000,1125600000,970000000,852300000,157000000,116300000,None,117700000,None,-26000000,26000000,26000000,1125600000,174600000,47300000,1400000,305600000,73700000,None,231900000,201400000,157000000,158400000,231900000
2022-05-29,USD,254200000,1149700000,1019700000,898900000,136000000,118200000,None,137000000,None,-24900000,24900000,24900000,1149800000,-56700000,47000000,2600000,54400000,22400000,5000000,32000000,23800000,136000000,138600000,32000000
2022-02-27,USD,221000000,955000000,822500000,734000000,133800000,87200000,None,88500000,None,-25800000,25800000,25800000,955000000,29700000,45300000,1300000,137700000,31100000,0,106600000,106700000,133800000,135100000,106600000
2021-11-28,USD,205500000,953300000,893700000,801100000,114400000,91100000,None,92600000,None,-82400000,82400000,82400000,953300000,10100000,44700000,1500000,42100000,9600000,53300000,32500000,17700000,114400000,115900000,32500000
2021-08-29,USD,151300000,984200000,925500000,832900000,60200000,91100000,None,92600000,None,-27900000,27900000,27900000,984200000,6200000,44500000,1500000,38500000,8700000,None,29800000,7600000,60200000,61700000,29800000
2021-05-30,USD,198000000,1005800000,911900000,809500000,98900000,99100000,None,115300000,None,-28700000,28700000,28700000,1008800000,9600000,42800000,3300000,79800000,14300000,5400000,65500000,72200000,98900000,102200000,65500000
2021-02-28,USD,196700000,895800000,796700000,699100000,100600000,96100000,None,97600000,None,-29300000,29300000,29300000,895800000,11100000,44800000,1500000,82400000,16300000,0,66100000,81900000,100600000,102100000,66100000
2020-11-29,USD,223500000,896100000,757900000,672600000,139600000,83900000,None,85300000,None,-30000000,30000000,30000000,896100000,19200000,45200000,1400000,128800000,31900000,None,96900000,104900000,139600000,141000000,96900000
2020-08-30,USD,213800000,871500000,736500000,657700000,135700000,78100000,None,78800000,None,-30300000,30300000,30300000,871500000,11900000,44900000,700000,117300000,28000000,None,89300000,128800000,135700000,136400000,89300000
2020-05-31,USD,111100000,846900000,817400000,735800000,30900000,80200000,None,97000000,None,-6300000,29200000,6300000,846900000,None,44600000,1400000,-4400000,-2800000,6300000,4500000,-1500000,30900000,3300000,-1600000
2020-02-23,USD,250400000,938000000,776300000,686900000,162500000,87900000,None,89400000,None,-100000,25200000,100000,937300000,9800000,44200000,1500000,147100000,35700000,100000,111400000,104300000,162500000,148700000,111400000
2019-11-24,USD,285100000,1019000000,827300000,734100000,193500000,91600000,None,93200000,None,-200000,25400000,200000,1019200000,15000000,43900000,1600000,183100000,42700000,200000,140400000,141100000,193500000,184900000,140400000
2019-08-25,USD,248600000,988800000,820200000,740400000,170000000,78600000,None,79800000,None,-200000,28200000,200000,989000000,10600000,42600000,1200000,152400000,36700000,200000,115700000,106800000,170000000,153800000,115700000
2019-05-26,USD,250500000,1003400000,856000000,752900000,148000000,102500000,15400000,118500000,None,-27100000,27100000,27100000,1003400000,None,43100000,600000,136100000,25700000,None,95200000,98400000,148000000,148600000,110400000
2019-02-24,USD,273400000,926800000,733500000,653400000,193800000,79600000,15400000,80100000,None,-27000000,None,27000000,926800000,14200000,38700000,500000,181000000,39600000,None,141400000,144000000,193800000,194300000,141400000
2018-11-25,USD,249000000,911400000,737900000,662400000,174000000,75000000,15400000,75500000,None,None,None,26200000,911400000,10200000,36900000,500000,153000000,34000000,None,124000000,111600000,174000000,174500000,119000000
2018-08-26,USD,230600000,914900000,762900000,684300000,152600000,78000000,15400000,78600000,None,None,None,26800000,914900000,19900000,36800000,600000,142100000,34300000,None,111400000,103600000,152600000,153200000,107800000
2018-05-27,USD,232700000,918200000,990300000,685500000,133500000,99200000,13500000,110300000,None,None,None,27700000,918200000,None,37400000,600000,128100000,28100000,None,77700000,82300000,133500000,134100000,100000000
2018-02-25,USD,242300000,861800000,619500000,621100000,169200000,73100000,13500000,75300000,None,None,None,28500000,863400000,26400000,35800000,600000,164300000,7500000,None,159600000,164800000,169200000,169800000,156800000
