fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-10-30,USD,5926000000,8930000000,3004000000,3004000000,3986000000,370000000,1197000000,1940000000,None,-406000000,None,406000000,8930000000,40000000,129000000,1216000000,3620000000,261000000,406000000,3359000000,3419000000,3986000000,5242000000,3359000000
2022-07-31,USD,5681000000,8464000000,2783000000,2783000000,3737000000,323000000,1255000000,1944000000,None,-406000000,None,406000000,8464000000,6000000,129000000,1217000000,3337000000,263000000,406000000,3074000000,3075000000,3737000000,4960000000,3074000000
2022-05-01,USD,5439000000,8103000000,2664000000,2664000000,3394000000,368000000,1261000000,2045000000,None,-518000000,None,518000000,None,-86000000,135000000,1264000000,2790000000,200000000,None,2590000000,2590000000,3394000000,4572000000,2590000000
2022-01-30,USD,5049000000,7706000000,2657000000,2657000000,3108000000,321000000,1206000000,1941000000,None,-407000000,None,407000000,7706000000,-14000000,136000000,1287000000,2687000000,215000000,407000000,2472000000,2473000000,3108000000,4381000000,2472000000
2021-10-31,USD,4638000000,7407000000,2769000000,2769000000,2581000000,337000000,1200000000,2057000000,None,-434000000,None,434000000,7407000000,22000000,134000000,1501000000,2169000000,180000000,434000000,1989000000,1979000000,2581000000,4104000000,1989000000
2021-08-01,USD,4197000000,6778000000,2581000000,2581000000,2126000000,346000000,1205000000,2071000000,None,-415000000,None,415000000,6778000000,15000000,134000000,1503000000,1726000000,-150000000,415000000,1876000000,1876000000,2126000000,3644000000,1876000000
2021-05-02,USD,4057000000,6610000000,2553000000,2553000000,1975000000,325000000,1238000000,2082000000,None,-466000000,None,466000000,6610000000,-23000000,133000000,1504000000,1486000000,-7000000,466000000,1493000000,1494000000,1975000000,3456000000,1493000000
2021-01-31,USD,3952000000,6655000000,2703000000,2703000000,1837000000,339000000,1211000000,2115000000,None,-570000000,None,570000000,6483000000,117000000,138000000,1533000000,1384000000,6000000,742000000,1378000000,1379000000,1837000000,3487000000,1378000000
2020-11-01,USD,3747000000,6467000000,2720000000,2720000000,1526000000,405000000,1182000000,2221000000,None,-420000000,None,420000000,6451000000,31000000,139000000,1728000000,1137000000,-187000000,436000000,1324000000,1347000000,1526000000,3285000000,1324000000
2020-08-02,USD,3316000000,5821000000,2505000000,2490000000,1008000000,428000000,1228000000,2308000000,None,-464000000,None,464000000,5821000000,49000000,138000000,1719000000,592000000,-96000000,464000000,689000000,688000000,1008000000,1847000000,688000000
2020-05-03,USD,3189000000,5742000000,2553000000,2553000000,766000000,501000000,1269000000,2423000000,None,-487000000,None,487000000,-15000000,130000000,147000000,1730000000,404000000,-159000000,15000000,-15000000,564000000,766000000,2621000000,563000000
2020-02-02,USD,3264000000,5858000000,2594000000,2586000000,714000000,601000000,1289000000,2550000000,None,-406000000,None,406000000,5858000000,-4000000,146000000,1728000000,309000000,-76000000,411000000,380000000,385000000,714000000,2443000000,385000000
2019-11-03,USD,3152000000,5776000000,2624000000,2624000000,1054000000,409000000,1177000000,2098000000,None,-361000000,None,361000000,5776000000,54000000,143000000,None,747000000,-100000000,387000000,847000000,823000000,1054000000,None,847000000
2019-08-04,USD,3034000000,5515000000,2481000000,2481000000,865000000,410000000,1235000000,2169000000,None,-362000000,None,362000000,5515000000,41000000,141000000,None,544000000,-171000000,362000000,715000000,715000000,906000000,None,715000000
2019-05-05,USD,3089000000,5517000000,2428000000,2418000000,970000000,419000000,1151000000,2119000000,None,-376000000,None,376000000,5517000000,63000000,142000000,1447000000,655000000,-36000000,376000000,693000000,691000000,1031000000,2478000000,691000000
2019-02-03,USD,3208000000,5789000000,2581000000,2525000000,555000000,471000000,1133000000,2653000000,None,-345000000,None,345000000,5789000000,68000000,143000000,1459000000,268000000,-203000000,345000000,481000000,471000000,613000000,2072000000,471000000
2018-11-04,USD,2935000000,5444000000,2509000000,2509000000,1652000000,237000000,948000000,1283000000,None,-148000000,None,148000000,5338000000,24000000,132000000,836000000,1422000000,307000000,106000000,1115000000,1106000000,1570000000,2406000000,1115000000
2018-08-05,USD,2619000000,5063000000,2444000000,2444000000,1339000000,234000000,959000000,1280000000,None,-149000000,None,149000000,5063000000,39000000,129000000,836000000,1228000000,32000000,149000000,1197000000,1196000000,1377000000,2213000000,1196000000
2018-05-06,USD,2551000000,5014000000,2463000000,2463000000,1201000000,294000000,936000000,1350000000,None,-148000000,None,148000000,5014000000,46000000,128000000,964000000,1081000000,-2637000000,148000000,3721000000,3710000000,1229000000,2193000000,3718000000
2018-02-04,USD,2628000000,5327000000,2699000000,2699000000,943000000,291000000,925000000,1685000000,None,None,None,183000000,None,35000000,126000000,1184000000,444000000,-5786000000,None,6244000000,6239000000,627000000,1811000000,6230000000
