fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,2192600000,311900000,5656000000,432406805,0.721,0.055,0.259,0.007,0.003
2022-06-30,2085000000,455800000,5389500000,433322860,1.052,0.085,0.249,1.476,1.46
2022-03-31,1945000000,530200000,4998200000,434494753,1.22,0.106,0.313,4.898,4.7
2021-12-31,1846100000,425900000,4585400000,432472818,0.985,0.093,0.276,3.785,3.557
2021-09-30,1742100000,309700000,4123700000,430824004,0.719,0.075,0.322,0.928,0.841
2021-06-30,1669900000,184100000,3784400000,430532211,0.428,0.049,0.376,132.5,126.476
2021-03-31,1481700000,89900000,3629600000,419896411,0.214,0.025,0.159,7.421,7.27
2020-12-31,1446300000,89000000,3538500000,411842629,0.216,0.025,0.032,0.575,0.573
2020-09-30,1317300000,160600000,3423400000,411219904,0.391,0.047,-0.047,3.646,3.639
2020-06-30,1213500000,-1400000,3236100000,410809621,-0.003,-0.0,-0.1,-1.014,-1.014
2020-03-31,1277900000,-14000000,3214900000,410004566,-0.034,-0.004,,,
2019-12-31,1401800000,56500000,3301700000,411312664,0.137,0.017,,,
2019-09-30,1381800000,-60700000,3215300000,410171176,-0.148,-0.019,,,
2019-06-30,1347700000,101800000,3274300000,410050898,0.248,0.031,,,
2021-12-31,6739800000,1009600000,4585400000,432472818,2.334,0.22,0.283,3.311,3.105
2020-12-31,5255000000,234200000,3538500000,411842629,0.569,0.066,-0.048,0.106,0.105
2019-12-31,5517900000,211700000,3301700000,411312664,0.515,0.064,-0.061,-0.663,-0.661
2018-12-31,5878300000,627400000,3171600000,413834227,1.516,0.198,,,
