fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,5756000000,2496000000,6361000000,965000000,2.587,0.392,0.155,0.039,0.061
2022-06-30,5497000000,2272000000,6171000000,971000000,2.34,0.368,0.214,0.1,0.121
2022-03-31,5167000000,2628000000,7034000000,977000000,2.69,0.374,0.244,0.437,0.462
2021-12-31,5216000000,2380000000,7312000000,982000000,2.424,0.325,0.266,0.306,0.329
2021-09-30,4985000000,2403000000,6703000000,986000000,2.437,0.358,0.299,0.555,0.579
2021-06-30,4528000000,2066000000,6442000000,990000000,2.087,0.321,0.358,0.452,0.472
2021-03-31,4155000000,1829000000,6327000000,994000000,1.84,0.289,0.036,0.08,0.092
2020-12-31,4120000000,1822000000,6391000000,999000000,1.824,0.285,-0.067,-0.132,-0.125
2020-09-30,3837000000,1545000000,5796000000,1001000000,1.543,0.267,-0.141,-0.267,-0.258
2020-06-30,3335000000,1423000000,6470000000,1004000000,1.417,0.22,-0.189,-0.307,-0.296
2020-03-31,4009000000,1694000000,5398000000,1005000000,1.686,0.314,,,
2019-12-31,4414000000,2100000000,5893000000,1008000000,2.083,0.356,,,
2019-09-30,4467000000,2107000000,4949000000,1013000000,2.08,0.426,,,
2019-06-30,4113000000,2053000000,5008000000,1020000000,2.013,0.41,,,
2021-12-31,18884000000,8678000000,7312000000,982000000,8.837,1.187,0.234,0.338,0.362
2020-12-31,15301000000,6484000000,6391000000,999000000,6.49,1.015,-0.094,-0.201,-0.194
2019-12-31,16883000000,8119000000,5893000000,1008000000,8.055,1.378,0.129,0.387,0.42
2018-12-31,14950000000,5853000000,5395000000,1032000000,5.672,1.085,,,
