fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,40542000000,126381000000,85839000000,70268000000,2525000000,14075000000,19485000000,15571000000,277000000,-617000000,277000000,617000000,126998000000,759000000,None,1496000000,2941000000,69000000,617000000,2872000000,539000000,3558000000,5054000000,2872000000
2022-06-30,USD,39590000000,120533000000,80943000000,66424000000,3317000000,12989000000,18072000000,14519000000,159000000,-584000000,159000000,584000000,121117000000,-5545000000,None,1530000000,-2665000000,-637000000,584000000,-2028000000,-4445000000,-2081000000,-551000000,-2028000000
2022-03-31,USD,37013000000,115986000000,78973000000,66499000000,3669000000,10914000000,14842000000,12474000000,108000000,-472000000,108000000,472000000,116458000000,-8570000000,None,1560000000,-5266000000,-1422000000,472000000,-3844000000,-4833000000,-4794000000,-3234000000,-3844000000
2021-12-31,USD,20863000000,136903000000,116040000000,82835000000,3460000000,30235000000,15313000000,34205000000,118000000,-482000000,118000000,482000000,137385000000,11838000000,None,2970000000,14944000000,621000000,482000000,14314000000,14022000000,15426000000,18396000000,14323000000
2021-09-30,USD,34622000000,110212000000,75590000000,62930000000,4852000000,10163000000,14380000000,12660000000,119000000,-493000000,119000000,493000000,110705000000,-163000000,None,2497000000,4311000000,1155000000,493000000,3156000000,2606000000,4804000000,7301000000,3156000000
2021-06-30,USD,36408000000,112755000000,76347000000,64176000000,7702000000,9682000000,13871000000,12171000000,106000000,-435000000,106000000,435000000,113190000000,1261000000,None,2489000000,8646000000,868000000,435000000,7778000000,7919000000,9081000000,11570000000,7778000000
2021-03-31,USD,35035000000,108088000000,73053000000,62403000000,8865000000,8194000000,12488000000,10650000000,105000000,-399000000,105000000,399000000,108487000000,1697000000,None,2456000000,10263000000,2156000000,399000000,8107000000,7621000000,10662000000,13118000000,8107000000
2020-12-31,USD,125555000000,125555000000,102441000000,79284000000,6873000000,20271000000,12049000000,24557000000,100000000,-414000000,100000000,414000000,125555000000,1206000000,None,2886000000,7788000000,566000000,414000000,7199000000,8071000000,8202000000,11088000000,7222000000
2020-09-30,USD,29309000000,95717000000,66408000000,57106000000,6194000000,7102000000,10976000000,9302000000,118000000,-428000000,118000000,428000000,96145000000,925000000,None,2200000000,6900000000,569000000,428000000,6331000000,6757000000,7328000000,9528000000,6331000000
2020-06-30,USD,27895000000,88509000000,60614000000,52660000000,5843000000,5925000000,10388000000,7954000000,135000000,-403000000,135000000,403000000,88912000000,646000000,None,2029000000,6227000000,984000000,403000000,5243000000,5851000000,6630000000,8659000000,5243000000
2020-03-31,USD,22619000000,75050000000,52431000000,44257000000,3989000000,6280000000,9325000000,8174000000,202000000,-402000000,202000000,402000000,75452000000,-406000000,None,1894000000,3279000000,744000000,402000000,2535000000,1458000000,3681000000,5575000000,2535000000
2019-12-31,USD,87437000000,87437000000,75900000000,53977000000,3879000000,18583000000,9740000000,22988000000,211000000,-455000000,211000000,455000000,87437000000,418000000,None,3340000000,4054000000,786000000,455000000,3267000000,3711000000,4509000000,7849000000,3268000000
2019-09-30,USD,19574000000,69585000000,50011000000,41302000000,3157000000,6100000000,9200000000,8764000000,224000000,-396000000,224000000,396000000,69981000000,-353000000,None,2609000000,2628000000,494000000,396000000,2134000000,1665000000,3024000000,5633000000,2134000000
2019-06-30,USD,18721000000,63021000000,44300000000,36337000000,3084000000,5561000000,9065000000,8049000000,215000000,-383000000,215000000,383000000,63404000000,-27000000,None,2402000000,2882000000,257000000,383000000,2625000000,2675000000,3265000000,5667000000,2625000000
2019-03-31,USD,20582000000,59339000000,38757000000,33920000000,4420000000,4837000000,7927000000,4837000000,183000000,-366000000,183000000,366000000,59700000000,164000000,None,2307000000,4397000000,836000000,366000000,3561000000,3586000000,4763000000,7070000000,3561000000
2018-12-31,USD,72383000000,72383000000,59490000000,44786000000,3786000000,14229000000,7669000000,15667000000,150000000,-387000000,None,387000000,72383000000,-199000000,None,4262000000,3354000000,327000000,387000000,3023000000,3030000000,3741000000,8003000000,3027000000
2018-09-30,USD,18871000000,56218000000,37347000000,33003000000,3724000000,4344000000,7162000000,4412000000,117000000,-358000000,None,358000000,56576000000,-93000000,None,3778000000,3391000000,508000000,358000000,2883000000,2783000000,3749000000,7527000000,2883000000
2018-06-30,USD,17899000000,52543000000,34644000000,30632000000,2983000000,4012000000,7247000000,4092000000,94000000,-343000000,None,343000000,52886000000,-129000000,None,3630000000,2608000000,74000000,343000000,2534000000,2067000000,2951000000,6581000000,2534000000
2018-03-31,USD,16211000000,50712000000,34501000000,30735000000,1927000000,3766000000,6759000000,3829000000,80000000,-330000000,None,330000000,51042000000,239000000,None,3671000000,1916000000,287000000,330000000,1629000000,1646000000,2246000000,5917000000,1629000000
2017-12-31,USD,60453000000,60453000000,43345000000,38495000000,2127000000,4484000000,6314000000,5535000000,65000000,-338000000,None,338000000,60453000000,17000000,None,3498000000,1872000000,16000000,338000000,1856000000,1874000000,2210000000,5707000000,1856000000
