Symbol,Processed
MSCI,processed
NDAQ,slopefailed
NTAP,processed
NFLX,processed
NWL,processed
NEM,processed
NWSA,processed
NWS,processed
NEE,slopefailed
NKE,processed
NI,slopefailed
NDSN,processed
NSC,slopefailed
NTRS,processed
NOC,slopefailed
NCLH,negative net income
NRG,slopefailed
NUE,processed
NVDA,processed
NVR,processed
NXPI,unaligned reports
ORLY,processed
OXY,slopefailed
ODFL,processed
OMC,processed
ON,processed
OKE,processed
ORCL,processed
OGN,processed
OTIS,processed
PCAR,processed
PKG,processed
PARA,processed
PH,processed
PAYX,slopefailed
PAYC,slopefailed
PYPL,negative net income
PNR,processed
PEP,unaligned reports
PKI,unaligned reports
PFE,slopefailed
PCG,negative net income
PM,processed
PSX,processed
PNW,processed
PXD,processed
PNC,slopefailed
POOL,processed
PPG,processed
PPL,negative net income
PFG,processed
PG,slopefailed
PGR,negative net income
PLD,processed
PRU,negative net income
PEG,negative net income
PTC,processed
PSA,processed
PHM,processed
QRVO,processed
PWR,processed
QCOM,processed
DGX,slopefailed
RL,processed
RJF,processed
RTX,processed
O,processed
REG,processed
REGN,processed
RF,processed
RSG,slopefailed
RMD,slopefailed
RHI,processed
ROK,processed
ROL,slopefailed
ROP,processed
ROST,processed
RCL,negative net income
SPGI,processed
CRM,processed
SBAC,slopefailed
SLB,processed
STX,processed_copied
SEE,processed
SRE,slopefailed
NOW,processed
SHW,slopefailed
SBNY,slopefailed
SPG,processed
SWKS,processed
SJM,slopefailed
SNA,processed
SEDG,unaligned reports
SO,slopefailed
LUV,slopefailed
SWK,processed
SBUX,processed
STT,processed
STLD,processed
STE,negative net income
SYK,processed
SIVB,processed
SYF,processed
SNPS,processed
SYY,slopefailed
TMUS,negative net income
TROW,processed
TTWO,negative net income
TPR,processed
TRGP,processed
TGT,processed
TEL,processed
TDY,processed
TFX,processed
TER,processed
TSLA,processed
TXN,processed
TXT,processed
TMO,unaligned reports
TJX,processed
TSCO,processed
TT,processed
TDG,processed
TRV,processed
TRMB,slopefailed
TFC,processed
TYL,slopefailed
TSN,slopefailed
USB,processed
UDR,processed
ULTA,processed
UNP,slopefailed
UAL,negative net income
UPS,processed
URI,processed
UNH,slopefailed
UHS,processed
VLO,processed
VTR,negative net income
VRSN,processed
VRSK,unaligned reports
VZ,processed
VRTX,slopefailed
VFC,unaligned reports
VTRS,unaligned reports
VICI,negative net income
V,processed
VMC,processed
WAB,processed
WBA,negative net income
WMT,negative net income
WBD,negative net income
WM,slopefailed
WAT,unaligned reports
WEC,slopefailed
WFC,processed
WELL,negative net income
WST,processed
WDC,processed
WRK,slopefailed
WY,processed
WHR,negative net income
WMB,slopefailed
WTW,processed
GWW,processed
WYNN,negative net income
XEL,slopefailed
XYL,processed
YUM,processed
ZBRA,negative net income
